what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1305561957327
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1305561957327
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1305561957328
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1305561957334
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1305561957372
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1305561957379
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1305561957390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305561970721
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562103036
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562115023
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562118417
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562122115
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562136145
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562141552
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562157544
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1305562157704
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1305562158013
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1305562158014
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1305562158016
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1305562158017
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1305562158017
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1305562158018
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1305562158019
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1305562158019
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1305562158020
